Designator,Mid X,Mid Y,Layer,Rotation
R10,58.7007mm,11.3833mm,T,360
R9,58.7102mm,10.3379mm,T,360
U3,61.7312mm,9.0000mm,T,180
C7,62.0312mm,5.5803mm,T,270
R6,50.8745mm,2.9786mm,T,180
R5,57.8752mm,8.5883mm,T,360
U1,54.9752mm,5.7883mm,T,90
U2,55.1752mm,13.5250mm,T,180
R8,48.9500mm,12.4000mm,T,90
R7,47.0500mm,12.3475mm,T,270
R4,60.1766mm,5.5238mm,T,270
R3,58.9136mm,2.8893mm,T,180
R2,49.3540mm,5.3898mm,T,90
R1,52.0752mm,8.5883mm,T,360
Q1,48.0000mm,9.0879mm,T,180
P2,55.0000mm,17.5000mm,T,360
P1,55.0000mm,1.5000mm,T,180
C6,58.3306mm,13.6400mm,T,270
C4,46.9200mm,4.7056mm,T,270
C3,51.2497mm,5.5733mm,T,90
C2,52.3929mm,5.5733mm,T,270
C1,61.6475mm,11.5000mm,T,180
C9,52.5532mm,15.4750mm,T,180
R11,59.5077mm,13.6400mm,T,90
C8,48.1650mm,15.0250mm,T,180
C5,55.1902mm,10.6204mm,T,180
R10,35.7007mm,11.3833mm,T,360
R9,35.7102mm,10.3379mm,T,360
U3,38.7312mm,9.0000mm,T,180
C7,39.0312mm,5.5803mm,T,270
R6,27.8745mm,2.9786mm,T,180
R5,34.8752mm,8.5883mm,T,360
U1,31.9752mm,5.7883mm,T,90
U2,32.1752mm,13.5250mm,T,180
R8,25.9500mm,12.4000mm,T,90
R7,24.0500mm,12.3475mm,T,270
R4,37.1766mm,5.5238mm,T,270
R3,35.9136mm,2.8893mm,T,180
R2,26.3540mm,5.3898mm,T,90
R1,29.0752mm,8.5883mm,T,360
Q1,25.0000mm,9.0879mm,T,180
P2,32.0000mm,17.5000mm,T,360
P1,32.0000mm,1.5000mm,T,180
C6,35.3306mm,13.6400mm,T,270
C4,23.9200mm,4.7056mm,T,270
C3,28.2497mm,5.5733mm,T,90
C2,29.3929mm,5.5733mm,T,270
C1,38.6475mm,11.5000mm,T,180
C9,29.5532mm,15.4750mm,T,180
R11,36.5077mm,13.6400mm,T,90
C8,25.1650mm,15.0250mm,T,180
C5,32.1902mm,10.6204mm,T,180
R10,12.7007mm,11.3833mm,T,360
R9,12.7102mm,10.3379mm,T,360
U3,15.7312mm,9.0000mm,T,180
C7,16.0312mm,5.5803mm,T,270
R6,4.8745mm,2.9786mm,T,180
R5,11.8752mm,8.5883mm,T,360
U1,8.9752mm,5.7883mm,T,90
U2,9.1752mm,13.5250mm,T,180
R8,2.9500mm,12.4000mm,T,90
R7,1.0500mm,12.3475mm,T,270
R4,14.1766mm,5.5238mm,T,270
R3,12.9136mm,2.8893mm,T,180
R2,3.3540mm,5.3898mm,T,90
R1,6.0752mm,8.5883mm,T,360
Q1,2.0000mm,9.0879mm,T,180
P2,9.0000mm,17.5000mm,T,360
P1,9.0000mm,1.5000mm,T,180
C6,12.3306mm,13.6400mm,T,270
C4,0.9200mm,4.7056mm,T,270
C3,5.2497mm,5.5733mm,T,90
C2,6.3929mm,5.5733mm,T,270
C1,15.6475mm,11.5000mm,T,180
C9,6.5532mm,15.4750mm,T,180
R11,13.5077mm,13.6400mm,T,90
C8,2.1650mm,15.0250mm,T,180
C5,9.1902mm,10.6204mm,T,180
R10,58.5737mm,36.2753mm,T,360
R9,58.5832mm,35.2300mm,T,360
U3,61.6042mm,33.8920mm,T,180
C7,61.9042mm,30.4723mm,T,270
R6,50.7475mm,27.8706mm,T,180
R5,57.7482mm,33.4803mm,T,360
U1,54.8482mm,30.6803mm,T,90
U2,55.0482mm,38.4170mm,T,180
R8,48.8230mm,37.2920mm,T,90
R7,46.9230mm,37.2395mm,T,270
R4,60.0496mm,30.4158mm,T,270
R3,58.7866mm,27.7813mm,T,180
R2,49.2270mm,30.2818mm,T,90
R1,51.9482mm,33.4803mm,T,360
Q1,47.8730mm,33.9800mm,T,180
P2,54.8730mm,42.3920mm,T,360
P1,54.8730mm,26.3920mm,T,180
C6,58.2036mm,38.5320mm,T,270
C4,46.7930mm,29.5976mm,T,270
C3,51.1227mm,30.4653mm,T,90
C2,52.2659mm,30.4653mm,T,270
C1,61.5205mm,36.3920mm,T,180
C9,52.4262mm,40.3670mm,T,180
R11,59.3807mm,38.5320mm,T,90
C8,48.0380mm,39.9170mm,T,180
C5,55.0632mm,35.5124mm,T,180
R10,35.5737mm,36.2753mm,T,360
